Account Weights,,,,,,City Assignments,,,,,
Hydrological & Regulatory Risk,Climate & Operational Physics,Economic & Social Impact,Natural Hazards,Biodiversity,,1,2,3,4,5,
0.25,0.3,0.15,0.2,0.1,,Oklahoma City,Boston,Denver,Houston,Gainesville,
,,,,,,,,,,,
Account,Sub-Account,City,Value,Ranked Score,,,,,,,
Hydrological & Regulatory Risk,Baseline Water Stress (Regional),1,Low-Medium,4,,,,,,,
,,2,Low-Medium,4,,,,,,,
,,3,High,1,,,,,,,
,,4,Low-Medium,4,,,,,,,
,,5,Medium,3,,,,,,,
,Annual Precipitation (1991-2020),1,36.95,4,,,,,,,
,,2,43.59,3,,,,,,,
,,3,16.8,5,,,,,,,
,,4,54.12,1,,,,,,,
,,5,48.31,2,,,,,,,
,Recycled Water Infrastructure,1,Yes,5,,,,,,,
,,2,Yes,5,,,,,,,
,,3,Yes,5,,,,,,,
,,4,Yes,5,,,,,,,
,,5,Yes,5,,,,,,,
Climate & Operational Physics,Cooling Degree Days (1991-2020),1,1975,3,,,,,,,
,,2,665,5,,,,,,,
,,3,698,4,,,,,,,
,,4,3042,1,,,,,,,
,,5,2486,2,,,,,,,
,Annual Mean Relative Humidity,1,80,3,,,,,,,
,,2,72,4,,,,,,,
,,3,50,5,,,,,,,
,,4,89,2,,,,,,,
,,5,89,2,,,,,,,
,Grid Carbon Intensity (eGRID 2023),1,862,4,,,,,,,
,,2,539,1,,,,,,,
,,3,1037,5,,,,,,,
,,4,734,2,,,,,,,
,,5,783,3,,,,,,,
,Renewable Energy Mix,1,43.6,5,,,,,,,
,,2,19.6,2,,,,,,,
,,3,37.3,4,,,,,,,
,,4,27.3,3,,,,,,,
,,5,6.7,1,,,,,,,
Economic & Social Impact,Industrial Electricity Rate (2024),1,5.84,5,,,,,,,
,,2,18.19,1,,,,,,,
,,3,8.62,2,,,,,,,
,,4,6.12,4,,,,,,,
,,5,8.5,3,,,,,,,
,Water & Sewer Cost (Industrial),1,6.52,3,,,,,,,
,,2,12.76,2,,,,,,,
,,3,5.68,4,,,,,,,
,,4,17.14,1,,,,,,,
,,5,3.72,5,,,,,,,
,Environmental Justice Index,1,90,2,,,,,,,
,,2,80,3,,,,,,,
,,3,50,4,,,,,,,
,,4,95,1,,,,,,,
,,5,50,5,,,,,,,
Natural Hazards,Seismic Hazard (USGS 2023),1,medium-low,4,,,,,,,
,,2,medium-low,4,,,,,,,
,,3,medium-low,4,,,,,,,
,,4,low,5,,,,,,,
,,5,low,5,,,,,,,
,Flood Risk Zone,1,Medium-high,2,,,,,,,
,,2,Medium ,3,,,,,,,
,,3,Medium-high,2,,,,,,,
,,4,High,1,,,,,,,
,,5,medium,3,,,,,,,
,Tornado Frequency (Annual Avg),1,59,1,,,,,,,
,,2,0,5,,,,,,,
,,3,1,2,,,,,,,
,,4,1,3,,,,,,,
,,5,1,4,,,,,,,
,Wildfire Hazard,1,Moderate,3,,,,,,,
,,2,High,4,,,,,,,
,,3,High,5,,,,,,,
,,4,Low,1,,,,,,,
,,5,Low,2,,,,,,,
,Winter Weather Disruption,1,low,5,,,,,,,
,,2,moderate,3,,,,,,,
,,3,Moderate,3,,,,,,,
,,4,low,5,,,,,,,
,,5,low,5,,,,,,,
Biodiversity,Protected Area Proximity,1,18,2,,,,,,,
,,2,5,4,,,,,,,
,,3,8,3,,,,,,,
,,4,22,1,,,,,,,
,,5,4,5,,,,,,,